year,CO2_levels,N2O_levels,CH4_levels,Afghanistan,Colombia,Denmark,Israel,Mexico,Zimbabwe
1984,0.3443,303.9,1654,4038094,31702277,3816302,2208410,64452010,4870612
1985,0.3458,304.5,1666,3847203,32634885,3309551,2292880,66316559,6713741
1986,0.3472,305.3,1679,3644301,32452784,3484081,2119240,73347599,7139557
1987,0.349,305.9,1691,3918800,32949609,3384465,2491105,74641169,4907209
1988,0.3514,306.7,1703,3525670,34192174,3602763,2036359,70012529,6071717
1989,0.353,307.6,1714,3343300,35744760,4669171,2158277,72372033,6260344
1990,0.3542,308.6,1724,3256041,37099214,5660752,2611111,71749175,5690452
1991,0.3555,309.3,1735,3256202,37023088,5343916,1954400,69983139,5387514
1992,0.3562,309.9,1743,2992146,38132527,5568295,2101796,75521705,1946697
1993,0.35700000000000004,310.1,1746,3455429,40199385,6336976,1907294,78416256,3160571
1994,0.35860000000000003,310.7,1752,3644102,41144948,5373347,1980905,77033264,6105284
1995,0.3604,311.4,1759,3778351,41548212,6272018,2372641,81336765,4980416
1996,0.3621,312.0,1761,3770402,44017801,6595764,2285919,82663041,6204210
1997,0.3633,312.9,1765,4194956,45199721,6726356,2098755,82688730,6722941
1998,0.366,313.7,1774,4416427,42616473,6601550,2291884,86137000,6500896
1999,0.368,314.6,1782,3840064,43349951,6164290,2248852,84444357,6793123
2000,0.3695,315.7,1783,2670122,42576699,6625596,2178326,82428595,6371129
2001,0.371,316.4,1782,2861103,42234225,6547435,2147368,88551484,6660878
2002,0.3729,317.1,1783,4224249,46537792,5882911,2281691,85588110,4759347
2003,0.3753,317.7,1787,5109636,49406019,6433529,2220359,88879794,6021905
2004,0.3771000000000001,318.4,1786,4103069,50698494,6767177,2558328,91487642,7041708
2005,0.3792,319.1,1785,5965954,49448469,6848159,2367006,92389996,5319356
2006,0.3813,320.0,1785,5277873,47283176,6501692,2217632,94693877,6226022
2007,0.3831,320.7,1791,6434881,46384959,6521150,2316848,98356139,4875295
2008,0.3852,321.6,1799,4586621,43316181,7097608,1994754,99089489,3421710
2009,0.3868,322.4,1804,7165349,47181904,7941566,2203501,92598696,3355196
2010,0.389,323.3,1809,6574852,42218657,6804383,2169445,96072105,4201541
2011,0.3909,324.3,1814,5441674,44868370,6806425,2180713,89314158,4396094
2012,0.3931,325.2,1819,7044401,45461064,6613113,2196598,95916447,5393858
2013,0.3958,326.2,1825,7278776,47599424,6238275,2251560,107824924,5261201
2014,0.3977,327.3,1834,7802393,50720786,7240534,2255786,104800624,5230354
2015,0.4001,328.3,1844,7021489,49792267,7149193,2102973,105749138,4458951
2016,0.4033,329.1,1853,7570334,49573985,6565275,2177994,111740047,4467876
2017,0.4056,329.9,1860,7260509,37456825,7438471,2059011,112415328,5103817
2018,0.4079,331.1,1869,6264859,47289586,4810760,1964634,112083789,5583910
2019,0.4105,332.0,1877,8673262,47448909,7388280,1994620,114930645,4778935
