year,CO2_levels,N2O_levels,CH4_levels
1984,0.3443,303.9,1654
1985,0.3458,304.5,1666
1986,0.3472,305.3,1679
1987,0.349,305.9,1691
1988,0.3514,306.7,1703
1989,0.353,307.6,1714
1990,0.3542,308.6,1724
1991,0.3555,309.3,1735
1992,0.35619999999999996,309.9,1743
1993,0.357,310.1,1746
1994,0.35860000000000003,310.7,1752
1995,0.3604,311.4,1759
1996,0.36210000000000003,312.0,1761
1997,0.3633,312.9,1765
1998,0.366,313.7,1774
1999,0.368,314.6,1782
2000,0.3695,315.7,1783
2001,0.371,316.4,1782
2002,0.37289999999999995,317.1,1783
2003,0.3753,317.7,1787
2004,0.37710000000000005,318.4,1786
2005,0.3792,319.1,1785
2006,0.38130000000000003,320.0,1785
2007,0.3831,320.7,1791
2008,0.3852,321.6,1799
2009,0.38680000000000003,322.4,1804
2010,0.389,323.3,1809
2011,0.39089999999999997,324.3,1814
2012,0.3931,325.2,1819
2013,0.3958,326.2,1825
2014,0.3977,327.3,1834
2015,0.4001,328.3,1844
2016,0.4033,329.1,1853
2017,0.4056,329.9,1860
2018,0.4079,331.1,1869
2019,0.4105,332.0,1877
